Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	36	0.007	0.084	0.306	156.97484	66467	803950	1426.489	27.10493	20.686	0.706	1.000	0.410		[M+HCOO]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	27.10493	156.97484 87616;157.97818 6298;158.97786 26112	null
1	Unknown	42	0.007	0.097	0.150	110.96912	391125	2907731	9499.855	20.69564	30.250	0.679	0.989	0.537		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	20.69564	110.96912 433397;111.97258 10327;111.97634 4074	62.63648 2229;67.01779 2995;71.61703 6379;95.60975 2718;104.08823 2440;111.00787 6905;111.01913 13621;111.04442 4604
2	Unknown	42	0.007	0.097	0.293	200.96489	540101	7414374	2700.108	100.21560	41.696	0.707	1.000	0.657		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	100.21560	200.96489 581722;201.96822 26076	57.03328 26896;59.01266 9960;65.48292 7512;71.04906 8514;72.60827 20166;82.34151 6996;82.48994 7447;83.04932 11027;85.02831 12633;86.03635 9963;87.04403 171290;88.98707 50301;94.01112 8340;98.03012 6743;110.96903 106892;112.41725 7415;113.05969 100706;121.10130 34594;137.09590 10691;139.11189 67988;155.10706 63136;157.12248 15379;183.10201 34463;194.15590 7467;201.11287 304448;201.13165 20217
3	Unknown	42	0.007	0.097	0.255	312.94269	78806	856375	1.000	53669.81000	22.141	0.746	1.000	0.657		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	53669.81000	312.94269 90421;313.94742 7148	null
4	Unknown	216	0.280	0.471	0.537	88.03945	310559	4228895	3925.458	18.91432	13.067	0.688	1.000	0.463		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	18.91432	88.03945 347601;89.04263 7922	null
5	Unknown	222	0.408	0.484	0.537	145.04988	580425	4293907	16451.720	3.57858	14.746	0.716	0.958	0.172		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	3.57858	145.03999 41670;145.04988 552007;146.04514 49885;146.05347 20598;147.04439 10831	50.81426 2072;71.57886 2560;72.24751 5269;83.04913 7547;90.40278 2000;101.05995 7551;112.39595 2321;145.03961 6355;145.04942 4965
6	Unknown	222	0.007	0.484	0.537	148.03976	2313684	53472938	4779.706	280.05550	30.310	0.515	1.000	0.067		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	280.05550	148.03976 2447489;149.03471 29290;149.04286 157339;149.04764 11043;150.03152 39899	60.62114 6172;68.59696 5855;72.46083 17869;72.46463 8992;85.09634 7204;102.03381 52534;111.06155 6753;125.30730 6499;148.03947 35232
7	Unknown	222	0.421	0.484	0.549	168.02963	317913	2275906	7422.341	5.43818	16.892	0.634	0.965	0.146		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	5.43818	168.02963 314910;168.03764 39555;169.02490 8167;169.03310 22822	null
8	Unknown	222	0.358	0.484	0.549	178.05038	28490886	299342661	344372.900	12.52248	132.066	0.696	0.991	0.230		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	12.52248	178.05038 30535734;179.04579 818192;179.05362 2896210;180.04266 12359;180.04884 51118;180.05458 118507;180.05753 49029	71.20531 74613;71.56582 151364;71.57002 371578;82.52805 79017;87.10193 84365;95.59039 73317;111.21957 71225;112.22181 80590;134.06017 2638676;167.21103 79425;174.60486 77365;178.05032 2243924
9	Unknown	222	0.358	0.484	0.549	179.04579	3451172	36140075	10909.410	47.70564	24.184	0.700	0.991	0.217		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	47.70564	179.04579 818192;179.05362 2896210;180.04266 12359;180.04884 51118;180.05458 118507;181.05003 926472	51.57168 8910;55.84914 9819;67.25857 8157;72.60382 11085;72.60729 18376;86.58199 8667;90.45585 7595;108.98944 12682;134.06001 21957;135.04610 15054;135.05547 38183;135.06410 189007;135.08035 36558;158.98660 25533;178.88390 12519;178.99298 38929;179.05396 236616;179.07071 44964
10	Unknown	222	0.358	0.484	0.549	179.05362	3451172	36140075	45164.690	11.52317	50.988	0.687	0.988	0.217		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	11.52317	179.04579 818192;179.05362 2896210;180.04884 51118;180.05458 118507;180.05753 49029;181.05003 926472	51.57168 8910;55.84914 9819;67.25857 8157;72.60382 11085;72.60729 18376;86.58199 8667;90.45585 7595;108.98944 12682;134.06001 21957;135.04610 15054;135.05547 38183;135.06410 189007;135.08035 36558;158.98660 25533;178.88390 12519;178.99298 38929;179.05396 236616;179.07071 44964
11	Unknown	222	0.421	0.484	0.561	181.05003	897575	7192259	9018.825	10.39372	18.044	0.728	0.974	0.267		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	10.39372	181.05003 926472;182.04533 92732;182.05322 74506;183.04068 22189	57.33271 2481;59.01281 4083;59.20887 2485;69.17249 2166;72.14081 8196;80.07286 2136;83.01285 3337;92.91858 6279;107.04944 3185;108.89847 4722;111.04391 2687;112.78429 2773;119.04910 2325;121.02853 23568;122.03624 14941;123.04479 2683;127.59760 2571;136.01500 2710;136.89348 4216;136.90887 2598;137.05991 45322;137.06952 4606;137.09621 22332;166.02679 5014;181.04979 16524;181.08662 22130;181.12253 5165
12	Unknown	222	0.358	0.484	0.549	201.11284	3477435	37079795	44525.910	9.75980	39.260	0.692	0.995	0.243		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	9.75980	201.11284 3722641;202.10854 88781;202.11613 357622;203.11099 14063;203.11728 25006	52.71314 11392;55.86007 11108;55.96350 10796;57.03329 35564;59.01267 18585;63.15111 10131;64.36707 10293;71.04927 15656;71.06911 11663;71.93613 46460;72.15518 10846;78.42350 11272;85.02836 14089;87.04399 175248;88.98685 36390;110.96890 81175;113.05989 113164;121.10146 53453;122.97523 10719;137.09619 16181;139.11215 101898;155.10706 79218;157.12308 13537;183.10194 23401;191.01314 13946;201.11276 305339;201.13153 15545
13	Unknown	228	0.150	0.498	0.549	151.03944	5274427	104745307	17233.550	106.65840	33.686	0.626	1.000	0.147		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	106.65840	151.03944 5128892;152.03459 118948;152.04262 369636;153.02968 50715;153.03799 8303;153.04364 8666;153.04622 12959	52.53712 16151;55.77590 13672;57.89663 14957;59.96212 13508;70.92838 13675;71.01283 16146;72.09161 61125;89.02302 19375;93.03356 34776;107.04929 338302;136.01569 729159;151.03946 273149
14	Unknown	228	0.293	0.498	0.561	173.08142	1029332	15158759	16640.070	9.72873	18.293	0.657	0.998	0.201		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	9.72873	173.08142 1030543;174.07683 24185;174.08464 91418;175.07964 11406	54.43655 2612;57.03331 3313;59.01262 6568;59.69415 3118;59.69724 3296;61.25402 2743;72.57742 3686;72.58063 5707;85.02856 13704;85.42447 2282;87.04385 20253;100.92497 4337;111.08058 150719;115.91972 7356;118.96546 7521;128.37798 2879;129.09114 21898;131.08946 3939;137.89650 3172;155.07054 3822;172.94066 4492;173.06642 6258;173.08138 123120;173.11693 14477
15	Unknown	264	0.471	0.573	0.742	99.92492	415294	4999411	27847.090	14.81883	34.421	0.709	0.999	0.465		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	14.81883	99.92492 430663;100.92496 27940;100.93278 83519;101.92401 19167;101.93305 11101	58.27672 2544;65.51535 3051;72.09122 8093;72.76007 2876;72.99199 23102;99.92480 107697;100.00311 5454
16	Unknown	264	0.471	0.573	0.742	110.96912	370414	3910689	9499.855	38.99149	32.645	0.911	1.000	0.670		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	38.99149	110.96912 369480;110.97482 10545;111.97269 5534	null
17	Unknown	264	0.498	0.573	0.742	229.91583	186274	2132602	4774.210	37.61080	18.747	0.622	0.986	0.361		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	37.61080	229.91583 176303;229.92427 9677;230.91566 13437;231.90594 17751;231.91925 15254	null
18	Unknown	264	0.190	0.573	0.742	243.89531	63424	1032227	3797.392	16.58145	16.102	0.703	0.998	0.403		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	16.58145	243.89531 74968	null
