Peak ID	Name	Scan	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Estimated noise	S/N	Sharpness	Gaussian similarity	Ideal slope	Symmetry	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	47	0.007	0.119	0.158	207.93092	731977	5772658	23208.240	12.73989	27.884	0.718	1.000	0.259		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	12.73989	207.93092 745455;208.93416 8662;208.93736 5788;209.92664 3336;209.93544 8949	62.39889 2843;68.72451 2585;71.11552 16962;87.92438 23798;103.91920 41395;104.92712 3459;105.93491 8609;106.60475 2798;123.94524 7957;148.03960 4252;150.87456 3087;176.03499 3985;179.93590 10608;208.06123 6976
1	Unknown	53	0.007	0.138	0.250	235.92604	238868	3035426	27610.440	3.60188	13.743	0.843	1.000	0.658		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	3.60188	235.92604 246954;236.92967 7384;237.93022 3820	59.84998 2293;70.57097 2614;87.92417 4014;98.62845 2358;103.91918 6756;146.93800 2976;164.28429 2722;173.53545 2293;181.30905 2300
2	Unknown	230	0.497	0.575	0.708	95.02422	66178	637739	3124.982	21.17700	17.122	0.644	0.996	0.362		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	21.17700	95.02422 59425;95.03212 6962;97.02854 65766	null
3	Unknown	230	0.524	0.575	0.708	138.05528	247970	2111156	4827.231	51.36907	28.334	0.838	1.000	0.951		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	51.36907	138.05528 269223;138.06322 11972;139.05054 23354;139.05846 21586;140.04594 22343	null
4	Unknown	230	0.408	0.575	0.708	141.09137	107530	1606889	3607.733	29.80537	18.016	0.658	0.992	0.471		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	29.80537	141.09137 118910;142.08667 36762	null
5	Unknown	230	0.510	0.575	0.708	195.06590	283848	2648586	3986.121	71.20897	29.097	0.754	0.999	0.779		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	71.20897	195.06590 304529;196.06102 17372;196.06856 24778;197.05640 36968;197.06654 74860	null
6	Unknown	230	0.524	0.575	0.708	233.15451	84174	693804	4001.296	21.03660	17.486	0.643	0.993	0.414		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	21.03660	233.15451 103004;234.15788 12170	null
7	Unknown	236	0.107	0.588	0.708	88.98702	6320462	141462666	12688.760	498.11510	168.159	0.629	1.000	0.296		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	498.11510	88.98702 6470865;89.99039 114504;90.99134 38987	60.23404 20684;60.99189 98875;72.10340 80154;88.98692 39136
8	Unknown	236	0.180	0.588	0.708	89.99039	113505	2238886	1368.354	82.94992	24.274	0.645	1.000	0.377		[M-H]-	1		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	82.94992	89.99039 114504;90.99134 38987	null
9	Unknown	236	0.524	0.588	0.708	157.12274	99004	836122	2023.042	48.93815	21.093	0.656	0.991	0.363		[M-H]-	0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	null	null	null	48.93815	157.12274 107750;158.11784 7716;158.12619 11201	null
